,Name,Address,Latitude,Longitude
147,Kebun Baru Blk 109 (CC),Blk 109 Ang Mo Kio Ave 4,1.3701806,103.8376554
148,Kebun Baru Blk 172 (CC),Blk 172 Ang Mo Kio Ave 4,1.3746617,103.8366159
149,Kebun Baru Blk 180 (CC),Blk 180 Ang Mo Kio Ave 5,1.3758877,103.8556196
150,Kebun Baru Blk 260B (CC),Blk 260B Ang Mo Kio St 21,1.3690578,103.8338895
151,Kembangan-Chai Chee Blk 116 (DS),Blk 116 Lengkong Tiga,1.3228258,103.9119068
152,Kembangan-Chai Chee Blk 32 (CC),Blk 32 Chai Chee Ave,1.3250333,103.9246368
153,Kembangan-Chai Chee Blk 326 (KN),Blk 326 Ubi Ave 1,1.3271524,103.9037074
154,Kembangan-Chai Chee Blk 341 (CC),Blk 341 Ubi Avenue 1,1.3269004,103.9020908
155,Kembangan-Chai Chee Blk 59 (KN),Blk 59 Chai Chee Road,1.3248997,103.9202448
156,Kolam Ayer Blk 26B (EY),Blk 26B St George’s Lane,1.3216768,103.8627064
157,Kolam Ayer Blk 39 (CC),Blk 39 Bendemeer Road,1.3207789,103.8662804
158,Kolam Ayer Blk 52 (CC),Blk 52 Sims Place,1.3171615,103.8798859
159,Kreta Ayer-Kim Seng Blk 79 (DS),Blk 79 Indus Road,1.291036,103.8290104
160,Kreta Ayer-Kim Seng Blk 8 (DS),Blk 8 Upper Boon Keng Road,1.3130023,103.8704502
161,Limbang Blk 543 (EY),Blk 543 Choa Chu Kang St 52,1.3931901,103.7447282
162,Limbang Blk 567 (CC),Blk 567 Choa Chu Kang Street 52,1.3948541,103.7459083
163,Limbang Blk 786 (EY),Blk 786 Choa Chu Kang Dr,1.3951283,103.7486037
164,MacPherson Blk 108 (KN),Blk 108 Aljunied Cres,1.319098,103.8852646
165,MacPherson Blk 31 (KN),Blk 31 Balam Road,1.3297956,103.8857349
166,MacPherson Blk 54 (CC),Blk 54 Pipit Road,1.3242686,103.8878639
167,Marine Parade Blk 46 (DS),Blk 46 Marine Crescent,1.305066,103.9126544
168,Marsiling Blk 12 (CC),Blk 12 Marsiling Lane,1.4400362,103.7784858
169,Marsiling Blk 32 (KN),Blk 32 Marsiling Dr,1.4436233,103.7733105
170,Marsiling (CC),9 Woodlands St 12,1.4358777,103.7804624
171,Marymount Blk 219 (CC),Blk 219 Bishan St 23,1.3570608,103.8465231
172,Marymount Blk 231 (DS),Blk 231 Bishan St 23,1.3573145,103.8458667
173,Marymount Blk 257 (CC),Blk 257 Bishan St 22,1.3600445,103.8431376
174,Marymount Blk 309 (KN),Blk 309 Shunfu Road,1.3509187,103.8382527
175,Moulmein-Cairnhill Blk 10 (DS),Blk 10 Gloucester Road,1.3139654,103.8521735
176,Moulmein-Cairnhill Blk 50 (CC),Blk 50 Dorset Road,1.3131807,103.8509346
177,Mountbatten Blk 51 (KN),Blk 51 Old Airport Road,1.308232,103.8858505
178,Nanyang Blk 825 (CC),Blk 825 Jurong West St 81,1.346171,103.693489
179,Nanyang Blk 922 (CC),Blk 922 Jurong West St 92,1.3391777,103.6890551
180,Nanyang Blk 934 (KN),Blk 934 Jurong West St 91,1.342027,103.68898
181,Nee Soon Central Blk 646 (DS),Blk 646 Yishun St 61,1.4221553,103.8375815
182,Nee Soon Central Blk 671 (DS),Blk 671 Yishun Ave 4,1.419273,103.8415089
183,Nee Soon Central Blk 723 (CC),Blk 723 Yishun Street 71,1.4271142,103.8295792
184,Nee Soon Central Blk 737 (KN),Blk 737 Yishun St 72,1.4267849,103.8326604
185,Nee Soon East Blk 223 (KN),Blk 223 Yishun St 21,1.43446,103.83573
186,Nee Soon East Blk 312 (CC),Blk 312 Yishun Ring Road,1.431533,103.841326
187,Nee Soon East Blk 333D (CC),Blk 333D Yishun St 31,1.4315507,103.8449698
188,Nee Soon East Blk 357 (EY),Blk 357 Yishun Ring Road,1.4263682,103.8460363
189,Nee Soon East Blk 367 (EY),Blk 367 Yishun Ring Road,1.43024,103.84549
190,Nee Soon Link Blk 408 (EY),Blk 408 Yishun Ave 6,1.4262799,103.8484821
191,Nee Soon Link Blk 446 (CC),Blk 446 Yishun Ave 11,1.4230726,103.8451304
192,Nee Soon Link Blk 461 (EY),Blk 461 Yishun Ave 6,1.4284349,103.8499767
193,Nee Soon South Blk 781 (CC),Blk 781 Yishun Ring Road,1.4221975,103.8322682
194,Nee Soon South Blk 852 (EY),Blk 852 Yishun St 81,1.4160076,103.8368876
195,Nee Soon South Blk 875 (DS),Blk 875 Yishun St 81,1.4148379,103.8362536
196,Nee Soon South Blk 879 (EY),Blk 879 Yishun St 81,1.4144393,103.8361648
197,Pasir Ris Central Blk 412 (CC),Blk 412 Pasir Ris Dr 6,1.3733738,103.9549617
198,Pasir Ris Central Blk 426 (DS),Blk 426 Pasir Ris Dr 6,1.3700007,103.9556869
199,Pasir Ris East Blk 216 (KN),Blk 216 Pasir Ris St 21,1.3690908,103.9609451
200,Pasir Ris West Blk 517 (CC),Blk 517 Pasir Ris St 52,1.3747766,103.9438341
201,Pasir Ris West Blk 650 (EY),Blk 650 Pasir Ris Dr 10,1.3788403,103.937942
202,Pasir Ris West Blk 738 (EY),Blk 738 Pasir Ris Dr 10,1.378898,103.935966
203,Paya Lebar Blk 125 (KN),Blk 125 Hougang Ave 1,1.3544184,103.889824
204,Paya Lebar Blk 221 (CC),Blk 221 Hougang Street 21,1.3565848,103.8836567
205,Paya Lebar Blk 23 (KN),Blk 23 Hougang Ave 3,1.3527672,103.8908706
206,Pioneer Blk 642 (EY),Blk 642 Jurong West St 61,1.3409751,103.6962959
207,Pioneer Blk 661B (CC),Blk 661B Jurong West St 64,1.3359592,103.7055457
208,Pioneer Blk 662B (KN),Blk 662B Jurong West St 64,1.3372539,103.7032838
209,Pioneer Blk 665A (EY),Blk 665A Jurong West St 64,1.3399753,103.7033514
210,Pioneer Blk 694 (CC),Blk 694 Jurong West Central 1,1.3433239,103.7070614
211,Potong Pasir Blk 101 (EY),Blk 101 Bidadari Park Drive,1.3368335,103.8708611
212,Potong Pasir Blk 14 (KN),Blk 14 Joo Seng Road,1.33583,103.879775
213,Potong Pasir Blk 143 (DS),Blk 143 Potong Pasir Ave 2,1.3328263,103.8657865
214,Punggol Coast Blk 303A (DS),Blk 303A Punggol Central,1.4037629,103.9056612
215,Punggol Coast Blk 326 (CC),Blk 326 Sumang Walk,1.4131814,103.8994153
216,Punggol Coast Blk 602 (CC),Blk 602 Punggol Central,1.4031869,103.9074661
217,Punggol Coast Blk 676B (DS),Blk 676B Punggol Drive,1.4050571,103.910343
218,Punggol Shore Blk 105D (KN),Blk 105D Edgefield Plains,1.3967878,103.9052195
219,Punggol Shore Blk 171C (EY),Blk 171C Edgedale Plains,1.3947956,103.9133568
220,Punggol Shore Blk 174D (KN),Blk 174D Edgedale Plains,1.3974191,103.9097781
221,Punggol Shore Blk 622C (CC),Blk 622C Punggol Central,1.4007295,103.910797
